name,FGA,FGM,FT%,3PT%,PTS,REB,AST,ST,BLK,TO
Moe Harkless,283,142,0.591,0.347,357,240,68,58,33,53
Tomas Satoransky,551,237,0.876,0.322,644,254,354,80,7,130
Mike Scott,350,149,0.811,0.369,408,248,56,22,5,26
Darius Miller,0,0,0,0,0,0,0,0,0,0
Kent Bazemore,534,200,0.769,0.344,597,294,93,74,40,91
Aron Baynes,381,183,0.747,0.351,481,237,67,10,23,50
Otto Porter Jr.,140,62,0.704,0.387,167,48,25,15,6,11
Cody Zeller,479,251,0.682,0.24,642,411,88,40,25,75
Alex Len,319,177,0.648,0.271,438,321,50,23,48,55
Ben McLemore,545,242,0.746,0.4,715,157,58,45,16,50
Kentavious Caldwell-Pope,507,237,0.775,0.385,645,142,111,57,14,62
Trey Burke,209,94,0.793,0.427,243,50,83,16,2,21
Michael Carter-Williams,260,111,0.832,0.293,323,147,109,49,22,52
Kelly Olynyk,398,184,0.86,0.406,549,305,116,45,23,71
Tony Snell,382,170,1,0.402,474,111,127,32,15,31
Gorgui Dieng,364,166,0.772,0.355,464,354,73,51,59,60
Solomon Hill,278,110,0.741,0.368,323,165,104,43,12,51
Reggie Bullock,224,90,0.81,0.333,234,68,42,25,3,19
Andre Roberson,29,8,0.5,0.214,20,27,4,1,3,2
Mike Muscala,189,77,0.818,0.378,226,108,40,9,12,17
Raul Neto,222,101,0.83,0.386,275,61,95,24,6,47
James Ennis III,359,160,0.806,0.325,454,245,63,35,22,58
Matthew Dellavedova,175,62,0.865,0.231,177,75,180,20,2,59
JaMychal Green,352,151,0.75,0.387,430,388,49,29,24,54
Rodney McGruder,181,72,0.559,0.27,187,151,36,26,8,24
Jabari Parker,429,219,0.753,0.269,531,214,68,45,16,64
Danté Exum,119,56,0.744,0.349,159,67,40,13,8,31
Elfrid Payton,440,193,0.57,0.203,449,212,323,70,17,96
Doug McDermott,547,267,0.828,0.435,710,174,78,12,5,42
Dario Saric,538,256,0.844,0.357,704,406,123,37,16,88
Gary Harris,519,218,0.815,0.333,581,163,118,76,14,60
Rodney Hood,172,87,0.778,0.493,230,72,32,17,4,19
Spencer Dinwiddie,1021,424,0.778,0.308,1318,221,432,40,21,174
Dwight Powell,229,146,0.667,0.256,376,227,59,34,22,36
Thanasis Antetokounmpo,48,24,0.412,0,55,24,15,7,2,12
Tyler Johnson,250,97,0.84,0.319,274,76,74,16,9,29
Langston Galloway,542,236,0.859,0.399,677,149,101,48,11,40
Khem Birch,143,73,0.653,0,212,220,50,20,23,31
Tim Frazier,94,34,0.792,0.333,97,33,93,14,4,36
Jakarr Sampson,115,68,0.667,0.154,156,88,21,16,12,15
Jahlil Okafor,162,101,0.645,0.333,243,127,37,7,22,38
Willie Cauley-Stein,302,175,0.606,0,390,315,70,49,61,40
Stanley Johnson,59,22,0.563,0.292,60,37,20,6,4,15
Frank Kaminsky,307,138,0.678,0.331,378,176,75,14,10,37
Justise Winslow,129,50,0.667,0.222,124,73,44,7,5,24
Trey Lyles,343,153,0.733,0.387,404,361,69,28,28,39
Cameron Payne,68,33,0.857,0.517,87,31,24,8,2,11
Tyus Jones,429,197,0.741,0.379,484,103,285,59,6,55
Kevon Looney,79,29,0.75,0.071,68,66,20,12,6,12
Cedi Osman,609,266,0.67,0.383,718,231,154,54,16,91
Guillermo Hernangómez,139,74,0.627,0.227,190,134,29,10,7,30
Pat Connaughton,301,137,0.775,0.331,360,284,107,25,31,52
Cristiano Felicio,54,34,0.783,0,86,102,16,10,2,18
Boban Marjanovic,211,121,0.754,0.235,289,197,20,8,10,30
Greg Whittington,0,0,0,0,0,0,0,0,0,0
Kris Dunn,342,152,0.741,0.259,373,186,173,101,17,68
Marquese Chriss,385,210,0.769,0.205,548,365,114,39,62,78
Taurean Prince,739,278,0.798,0.339,773,381,116,57,25,127
Denzel Valentine,237,97,0.75,0.336,246,74,43,26,6,26
Juancho Hernangómez,247,100,0.62,0.341,288,197,40,19,9,32
DeAndre' Bembry,228,104,0.542,0.231,249,152,81,55,19,60
Timothé Luwawu-Cabarrot,269,117,0.852,0.388,365,127,29,18,7,37
Furkan Korkmaz,563,242,0.755,0.402,704,168,79,41,16,59
Damian Jones,178,121,0.738,0.222,306,206,35,26,40,28
Patrick McCaw,162,67,0.722,0.324,170,86,79,39,4,29
Jake Layman,179,81,0.75,0.333,210,57,15,17,10,24
Georges Niang,322,141,0.833,0.4,392,127,44,18,5,30
Abdel Nader,263,123,0.773,0.375,345,100,38,23,20,43
Dorian Finney-Smith,522,243,0.722,0.376,678,405,114,45,39,69
Ryan Arcidiacono,220,90,0.711,0.391,261,110,96,27,3,37
Chasson Randle,4,0,0.833,0,5,2,5,2,0,0
Bryn Forbes,581,242,0.833,0.388,707,126,108,33,0,57
Danuel House Jr.,539,230,0.811,0.363,662,267,85,67,34,54
Damion Lee,511,213,0.873,0.356,621,239,133,50,6,67
Alex Caruso,291,120,0.734,0.333,349,123,124,70,18,53
David Nwaba,71,37,0.667,0.429,104,45,8,11,12,8
Markelle Fultz,772,359,0.73,0.267,870,238,369,90,11,147
Jonathan Isaac,332,156,0.779,0.34,404,231,48,53,78,49
Frank Ntilikina,333,131,0.864,0.321,357,121,172,54,16,71
Zach Collins,68,32,0.75,0.368,77,69,16,5,5,14
Luke Kennard,342,151,0.893,0.399,442,98,115,12,6,43
Justin Jackson,341,135,0.84,0.294,360,154,52,15,10,14
Justin Patton,10,4,0,0.25,9,5,2,0,0,2
D.J. Wilson,132,52,0.611,0.247,133,92,25,3,5,19
Harry Giles III,251,139,0.776,0,316,188,60,22,18,44
Terrance Ferguson,220,78,0.75,0.292,220,74,51,27,17,31
Tony Bradley,189,126,0.652,1,285,267,23,14,33,30
Frank Jackson,331,134,0.747,0.326,371,83,61,17,4,49
Wes Iwundu,233,97,0.804,0.341,300,131,60,25,13,26
Semi Ojeleye,196,80,0.875,0.378,236,145,37,21,5,19
Jordan Bell,67,35,0.613,0.333,93,81,16,3,10,21
Dwayne Bacon,244,85,0.66,0.284,224,100,52,23,2,37
Thomas Bryant,418,243,0.741,0.407,609,331,83,25,49,53
Isaiah Hartenstein,67,44,0.679,0,107,90,18,9,12,16
Damyean Dotson,290,120,0.667,0.362,321,91,57,23,4,21
Sterling Brown,256,95,0.8,0.324,266,183,51,29,7,42
Sindarius Thornwell,11,6,0.5,0.5,16,4,4,1,1,2
Vlatko Cancar,15,6,1,0.167,17,10,3,1,1,3
Monte Morris,566,260,0.843,0.378,660,137,255,55,17,53
Edmond Sumner,142,61,0.552,0.264,152,46,55,15,9,22
PJ Dozier,157,65,0.724,0.347,168,55,63,14,6,27
Maxi Kleber,514,237,0.849,0.373,672,388,88,25,83,58
Torrey Craig,269,124,0.611,0.326,315,189,47,23,36,25
Luke Kornet,187,82,0.714,0.287,215,84,32,11,26,14
Alfonzo McKinnie,171,73,0.71,0.215,182,113,14,23,8,26
Mo Bamba,286,132,0.674,0.346,332,302,42,23,86,42
Kevin Knox II,401,144,0.653,0.327,419,184,61,23,28,45
Jerome Robinson,310,115,0.702,0.32,319,129,87,28,17,49
Troy Brown Jr.,622,273,0.784,0.341,716,383,178,85,7,79
Lonnie Walker IV,357,152,0.721,0.406,389,139,68,32,14,44
Josh Okogie,398,170,0.796,0.266,533,268,99,68,26,87
Grayson Allen,251,117,0.867,0.404,330,85,52,10,2,33
Chandler Hutchison,175,80,0.59,0.316,218,108,26,27,7,27
Aaron Holiday,563,233,0.851,0.394,627,156,225,55,16,88
Anfernee Simons,536,214,0.826,0.332,579,152,97,26,10,61
Moritz Wagner,266,145,0.821,0.313,393,219,56,28,19,66
Landry Shamet,391,158,0.855,0.375,492,100,99,20,10,42
Jevon Carter,243,101,0.852,0.425,287,118,84,47,17,32
